,Focus,Region,bbox,discharge_reduction_lpjml,discharge_reduction_h08,discharge_reduction_matsiro,loss,ndays_lpjml_gfdl-esm2m,ndays_lpjml_hadgem2-es,ndays_lpjml_miroc5,ndays_lpjml_ipsl-cm5a-lr,ndays_h08_gfdl-esm2m,ndays_h08_hadgem2-es,ndays_h08_miroc5,ndays_h08_ipsl-cm5a-lr,ndays_matsiro_gfdl-esm2m,ndays_matsiro_hadgem2-es,ndays_matsiro_miroc5,ndays_matsiro_ipsl-cm5a-lr,lpjml,h08,matsiro
0,Hydro,Spain,"[-9, 36, 0, 43]",0.4,0.4,0.4,0.36,147.625904909169,147.153540695233,147.607883785263,147.067555661532,161.637322002255,159.124141639166,163.780676282425,157.424331192623,184.410263402172,177.053533612354,184.392716390192,174.695544864228,147.363721262799,160.491617779117,180.138014567237
1,Hydro,California,"[-121, 32, -113, 41]",0.38,0.38,0.38,0.5,163.623890334017,151.276404684917,161.996646676173,156.964372210138,190.334270529959,195.94077209426,189.75730912866,196.82099473692,156.690320405211,155.150554708688,154.344928764331,156.649327841305,158.465328476311,193.21333662245,155.708782929884
2,Nuclear,Elbe,"[8, 49, 16, 57]",0.207,0.207,0.207,0.121,80.3482317978588,79.2684356012034,80.7234866037675,81.1786802250245,100.518927511357,98.8317785224539,99.6050560527777,103.315537320605,147.732579266247,137.900041478717,146.357900329501,173.733146490628,80.3797085569635,100.567824851798,151.430916891273
3,Nuclear,Germany,"[6, 47, 15, 54]",0.44,0.11,0.44,0.115,169.812188844356,167.439365789479,170.805988366262,173.663149797082,204.622173531001,204.786512407619,205.39086542185,213.131782261358,374.807637091535,349.537847920043,363.360542404186,427.864268100365,170.430173199295,206.982833405457,378.892573879032
4,Hydro,Central Europe,"[6, 47, 25, 54]",0.25,0.2,0.126,0.066,96.0700879711867,95.4943521955917,96.9117247180038,98.4520096472838,95.6928021202269,93.5931943047038,95.8412127732147,101.082347410432,95.7812869415995,86.5203994687117,94.987539565412,104.482941528705,46.4313809438479,57.9314334912866,90.898135120102
5,Nuclear,Central Europe,"[6, 47, 25, 54]",0.25,0.2,0.126,0.047,96.0700879711867,95.4943521955917,96.9117247180038,98.4520096472838,95.6928021202269,93.5931943047038,95.8412127732147,101.082347410432,95.7812869415995,86.5203994687117,94.987539565412,104.482941528705,46.4313809438479,57.9314334912866,90.898135120102
