,Focus,Region,bbox,discharge_reduction_lpjml,discharge_reduction_h08,discharge_reduction_matsiro,loss,ndays_lpjml_gfdl-esm2m,ndays_lpjml_hadgem2-es,ndays_lpjml_miroc5,ndays_lpjml_ipsl-cm5a-lr,ndays_h08_gfdl-esm2m,ndays_h08_hadgem2-es,ndays_h08_miroc5,ndays_h08_ipsl-cm5a-lr,ndays_matsiro_gfdl-esm2m,ndays_matsiro_hadgem2-es,ndays_matsiro_miroc5,ndays_matsiro_ipsl-cm5a-lr,lpjml,h08,matsiro
0,Hydro,Spain,"[-9, 36, 0, 43]",0.4,0.4,0.4,0.36,147.625904909169,147.153540695233,147.607883785263,147.067555661532,161.637322002255,159.124141639166,163.780676282425,157.42433119262301,184.410263402172,177.05353361235402,184.392716390192,174.69554486422797,147.363721262799,160.491617779117,180.138014567237
1,Hydro,California,"[-121, 32, -113, 41]",0.38,0.38,0.38,0.5,163.62389033401698,151.276404684917,161.996646676173,156.964372210138,190.33427052995899,195.94077209426,189.75730912866,196.82099473692,156.690320405211,155.150554708688,154.344928764331,156.649327841305,158.465328476311,193.21333662245,155.708782929884
2,Nuclear,Elbe,"[8, 49, 16, 57]",0.207,0.207,0.207,0.121,80.3482317978588,79.26843560120341,80.7234866037675,81.1786802250245,100.518927511357,98.8317785224539,99.60505605277771,103.31553732060499,147.732579266247,137.90004147871701,146.357900329501,173.733146490628,80.37970855696351,100.567824851798,151.430916891273
3,Nuclear,Germany,"[6, 47, 15, 54]",0.44,0.44,0.44,0.46,169.812188844356,167.439365789479,170.805988366262,173.66314979708199,204.622173531001,204.78651240761903,205.39086542185,213.13178226135798,374.807637091535,349.537847920043,363.360542404186,427.864268100365,170.430173199295,206.982833405457,378.892573879032
4,Hydro,Central Europe,"[6, 47, 25, 54]",0.25,0.2,0.126,0.066,96.07008797118671,95.4943521955917,96.91172471800381,98.45200964728382,95.69280212022693,93.59319430470376,95.84121277321474,101.0823474104317,95.78128694159952,86.52039946871169,94.98753956541199,104.48294152870511,46.43138094384789,57.931433491286604,90.89813512010201
5,Nuclear,Central Europe,"[6, 47, 25, 54]",0.25,0.2,0.126,0.047,96.07008797118671,95.4943521955917,96.91172471800381,98.45200964728382,95.69280212022693,93.59319430470376,95.84121277321474,101.0823474104317,95.78128694159952,86.52039946871169,94.98753956541199,104.48294152870511,46.43138094384789,57.931433491286604,90.89813512010201
6,Hydro,Spain,"[-9, 36, 0, 43]",0.13,0.13,0.13,0.2,47.97841909548001,47.8249007259507,47.9725622302106,47.796955589998,52.532129650733005,51.715346032728995,53.228719791787995,51.162907637602395,59.9333356057059,57.542398424015,59.9276328268125,56.7760520808741,47.893209410409796,52.1597757782131,58.5448547343519
7,thermo,Spain,"[-9, 36, 0, 43]",0.13,0.13,0.13,0.9,47.97841909548001,47.8249007259507,47.9725622302106,47.796955589998,52.532129650733005,51.715346032728995,53.228719791787995,51.162907637602395,59.9333356057059,57.542398424015,59.9276328268125,56.7760520808741,47.893209410409796,52.1597757782131,58.5448547343519
